source_year,energy_consumed,type,year,scenario
,0.17703422189418375,elec,2020,observed
,0.24281367976703525,elec,2021,observed
,0.32103064525607206,elec,2022,observed
,0.27525338080718,elec,2023,observed
,0.19553448931766612,elec,2024,observed
,0.10940431009382832,lowcarbon_elec,2020,observed
,0.15402862234529383,lowcarbon_elec,2021,observed
,0.2105810297417555,lowcarbon_elec,2022,observed
,0.1959010548087137,lowcarbon_elec,2023,observed
,0.14426942284124286,lowcarbon_elec,2024,observed
,0.8229657781058163,fossil,2020,observed
,0.7571863202329647,fossil,2021,observed
,0.6789693547439279,fossil,2022,observed
,0.72474661919282,fossil,2023,observed
,0.8044655106823339,fossil,2024,observed
,0.18545999401593907,elec,2014,historical
,0.814540005984061,fossil,2014,historical
,0.1186969202939712,lowcarbon_elec,2014,historical
,0.1841441358503772,elec,2015,historical
,0.8158558641496227,fossil,2015,historical
,0.11565927424825867,lowcarbon_elec,2015,historical
,0.1884830999910152,elec,2016,historical
,0.8115169000089848,fossil,2016,historical
,0.11410677006984295,lowcarbon_elec,2016,historical
,0.18410412657773637,elec,2017,historical
,0.8158958734222637,fossil,2017,historical
,0.10950057103256619,lowcarbon_elec,2017,historical
,0.18326727929335823,elec,2018,historical
,0.8167327207066417,fossil,2018,historical
,0.11150427289299487,lowcarbon_elec,2018,historical
,0.1855844692106192,elec,2019,historical
,0.8144155307893808,fossil,2019,historical
,0.1136352978042852,lowcarbon_elec,2019,historical
,0.1888112187642207,elec,2020,historical
,0.8111887812357793,fossil,2020,historical
,0.11668230529587291,lowcarbon_elec,2020,historical
,0.37817647761072126,elec,2025,all_years
,0.2899383207430641,lowcarbon_elec,2025,all_years
,0.2867321436162412,fossil,2025,all_years
,0.41274835141510746,elec,2026,all_years
,0.32952932746770264,lowcarbon_elec,2026,all_years
,0.2521602698118551,fossil,2026,all_years
,0.43871302022526076,elec,2027,all_years
,0.3641677575615875,lowcarbon_elec,2027,all_years
,0.22619560100170172,fossil,2027,all_years
,0.4578667318498757,elec,2028,all_years
,0.3945829521851105,lowcarbon_elec,2028,all_years
,0.20704188937708673,fossil,2028,all_years
,0.46876949376895954,elec,2029,all_years
,0.4188404970114339,lowcarbon_elec,2029,all_years
,0.19613912745800288,fossil,2029,all_years
,0.4787873516122071,elec,2030,all_years
,0.44297064947663417,lowcarbon_elec,2030,all_years
,0.18612126961475534,fossil,2030,all_years
,0.4888052094554547,elec,2031,all_years
,0.46773600716283603,lowcarbon_elec,2031,all_years
,0.17610341177150782,fossil,2031,all_years
,0.4988230672987022,elec,2032,all_years
,0.49313657007004663,lowcarbon_elec,2032,all_years
,0.16608555392826027,fossil,2032,all_years
,0.5088409251419498,elec,2033,all_years
,0.5088409251419498,lowcarbon_elec,2033,all_years
,0.1560676960850127,fossil,2033,all_years
,0.5186555132259316,elec,2034,all_years
,0.5186555132259316,lowcarbon_elec,2034,all_years
,0.14625310800103086,fossil,2034,all_years
,0.5275757765893082,elec,2035,all_years
,0.5275757765893082,lowcarbon_elec,2035,all_years
,0.13733284463765424,fossil,2035,all_years
,0.5364960399526849,elec,2036,all_years
,0.5364960399526849,lowcarbon_elec,2036,all_years
,0.12841258127427768,fossil,2036,all_years
,0.5454163033160615,elec,2037,all_years
,0.5454163033160615,lowcarbon_elec,2037,all_years
,0.11949231791090106,fossil,2037,all_years
,0.5543365666794379,elec,2038,all_years
,0.5543365666794379,lowcarbon_elec,2038,all_years
,0.11057205454752447,fossil,2038,all_years
,0.5601398307263417,elec,2039,all_years
,0.5601398307263417,lowcarbon_elec,2039,all_years
,0.10476879050062081,fossil,2039,all_years
,0.5650761302949084,elec,2040,all_years
,0.5650761302949084,lowcarbon_elec,2040,all_years
,0.09983249093205407,fossil,2040,all_years
,0.5688795067800922,elec,2041,all_years
,0.5688795067800922,lowcarbon_elec,2041,all_years
,0.09602911444687025,fossil,2041,all_years
,0.572682883265276,elec,2042,all_years
,0.572682883265276,lowcarbon_elec,2042,all_years
,0.09222573796168645,fossil,2042,all_years
,0.5764862597504599,elec,2043,all_years
,0.5764862597504599,lowcarbon_elec,2043,all_years
,0.08842236147650263,fossil,2043,all_years
,0.5784367226765224,elec,2044,all_years
,0.5784367226765224,lowcarbon_elec,2044,all_years
,0.08647189855044021,fossil,2044,all_years
,0.5799196751666325,elec,2045,all_years
,0.5799196751666325,lowcarbon_elec,2045,all_years
,0.08498894606033007,fossil,2045,all_years
,0.5814026276567424,elec,2046,all_years
,0.5814026276567424,lowcarbon_elec,2046,all_years
,0.08350599357021993,fossil,2046,all_years
,0.5828855801468527,elec,2047,all_years
,0.5828855801468527,lowcarbon_elec,2047,all_years
,0.08202304108010978,fossil,2047,all_years
,0.5843685326369628,elec,2048,all_years
,0.5843685326369628,lowcarbon_elec,2048,all_years
